file,...1,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,susp,num
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,26,1262.943,138.73,90,158,456.822,84.809,1322,643,167.125,54.601,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,27,492.281,139.219,91,158,163.515,44.017,1025,643,116.565,25.944,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,28,4963.11,101.292,10,158,541.195,129.503,1950,669,107.333,75.35,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,29,380.061,131.256,90,158,121.121,39.157,1111,686,15.154,18.809,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,30,9513.919,111.825,16,158,1477.011,214.134,1662,677,129.779,137.527,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,31,3222.766,120.674,37,158,545.775,119.524,1439,698,101.014,61.528,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,32,1721.123,105.774,34,158,307.335,81.297,1273,756,111.595,45.078,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,33,582.801,140.546,97,158,197.304,43.756,938,788,149.744,25.33,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,34,1045.322,125.335,65,158,236.021,52.526,1489,817,167.005,39.37,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,35,380.061,126.104,83,158,129.759,40.434,1671,834,96.71,18.317,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,36,2494.265,129.629,65,158,637.165,92.532,1270,880,5.371,60.127,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,37,346.581,133.361,90,158,115.395,29.983,1175,852,119.932,22.096,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,38,1245.582,123.88,65,158,266.199,65.102,1722,861,147.848,36.741,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,39,370.761,133.853,94,158,120.851,31.741,906,867,156.615,19.487,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,40,7418.315,114.752,29,158,1242.96,243.367,2004,881,105.385,101.714,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,41,407.961,133.733,94,158,108.984,33.638,866,928,69.444,22.828,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,42,398.041,132.606,88,158,92.201,30.179,1131,904,172.504,21.584,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,43,13651.807,110.467,8,158,1665.723,230.327,1730,915,128.476,154.854,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,44,504.681,121.544,70,158,115.013,33.425,1891,927,164.982,23.635,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,45,840.102,127.737,83,158,216.392,60.466,509,967,8.236,26.051,100Si,09
